time_points	TBX3	GATA5	ZNF394	CDH17	XRCC2	CD93	OSR2	CREB5	CD19	RAD51
0	0.66651	0.12722	0.35506	0.77457	0.10043	0.27549	0.60678	0.7431	0.66564	0.69506
50	0.32577	0.12182	0.34641	0.72291	0.19246	0.31076	0.6097	0.75675	0.55541	0.73272
100	0.1775	0.044359	0.57129	0.58683	0.23335	0.35697	0.46473	0.6657	0.7211	0.67172
150	0.18389	0.061535	0.48498	0.63382	0.40451	0.33757	0.42001	0.73241	0.64023	0.69704
200	0.093069	0.13984	0.34356	0.53544	0.55833	0.29942	0.41454	0.67715	0.54787	0.75128
250	0.065301	0.088636	0.31243	0.52555	0.64291	0.36766	0.57886	0.80264	0.59831	0.60886
300	0.15021	0.094808	0.41264	0.45997	0.53501	0.29929	0.59936	0.61818	0.72887	0.66605
350	0.091332	0.090451	0.37646	0.4214	0.56415	0.34301	0.67754	0.52354	0.77369	0.7444
400	0.13586	0.11825	0.51887	0.50301	0.67189	0.23332	0.51428	0.60877	0.68436	0.83653
450	0.1667	0.076561	0.37687	0.48314	0.67404	0.38159	0.49957	0.59591	0.74865	0.7173
500	0.11701	0.075504	0.43223	0.5403	0.73547	0.33449	0.50912	0.71528	0.67258	0.6326
550	0.47088	0.093721	0.34532	0.61839	0.48525	0.35851	0.44792	0.70521	0.79193	0.58682
600	0.55451	0.14432	0.47634	0.62338	0.3258	0.3239	0.41967	0.72992	0.57916	0.60296
650	0.57177	0.15802	0.35277	0.64292	0.26344	0.29286	0.45249	0.72106	0.66332	0.69277
700	0.64375	0.09064	0.38179	0.74482	0.19067	0.30497	0.63565	0.68362	0.80941	0.72866
750	0.69886	0.095929	0.40258	0.64776	0.12781	0.29349	0.56801	0.7436	0.68197	0.82138
800	0.60023	0.12511	0.35201	0.78843	0.13401	0.34291	0.56525	0.67011	0.75488	0.68141
850	0.75168	0.098533	0.45418	0.70866	0.13918	0.31468	0.39503	0.65629	0.65835	0.68363
900	0.70582	0.08236	0.42546	0.70097	0.096002	0.33092	0.46276	0.66101	0.68662	0.74539
950	0.68631	0.11312	0.31684	0.66023	0.13898	0.33868	0.59038	0.61519	0.70017	0.64507
1000	0.67859	0.078058	0.33402	0.66954	0.11817	0.28461	0.59387	0.68238	0.77021	0.60681
